stream_id,condition,baseline_condition,backend,embedding_name,homology_dim,euclidean_feature_distance,z_scored_euclidean_feature_distance
aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,30.582368841360477,2.577935693570173
aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,8.131764558496327,1.519109004627005
aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,5.750002824085145,1.4328166666727151
aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.441475991259716,1.2829748726981915
aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,20.682873400265716,1.7862076196548686
aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,14.49570818184752,2.013852575540103
aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,3.750005743041687,2.44533100056004
aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.207681903146643,2.741076488606902
aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,13.258252188699766,1.7612303963239722
aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,12.37436873502124,1.3657080667481993
aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,65.75005599717505,2.104848202919517
aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.6055693798083532,1.3106063760316786
sha256_seeded_baseline_r000,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,0.8839203489194006,3.5832705857876097
sha256_seeded_baseline_r000,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,3.1820044234257856,0.9525806152996319
sha256_seeded_baseline_r000,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,32.25002543236784,1.8083177002232398
sha256_seeded_baseline_r000,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.441475991259716,1.2829748726981915
sha256_seeded_baseline_r001,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,6.187184782761119,1.415332596130607
sha256_seeded_baseline_r001,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,23.688079037980316,2.3138573038185375
sha256_seeded_baseline_r001,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,24.75001991972203,1.4352765684346063
sha256_seeded_baseline_r001,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.4140946612297913,1.4776700040518382
sha256_seeded_baseline_r002,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,11.84403912448718,1.713220524509878
sha256_seeded_baseline_r002,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,27.223619956418947,2.047759325397113
sha256_seeded_baseline_r002,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,31.7500238285786,2.068155110691653
sha256_seeded_baseline_r002,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.152325055432789,1.2403740164140076
sha256_seeded_baseline_r003,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,12.197592710683686,2.214960797453603
sha256_seeded_baseline_r003,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,45.60839517856774,2.3505945929944594
sha256_seeded_baseline_r003,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,53.25004244885773,3.1343736544848415
sha256_seeded_baseline_r003,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.4920715247971446,1.455662085576812
sha256_seeded_baseline_r004,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,23.157747408821486,1.6362081498089427
sha256_seeded_baseline_r004,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,19.445444414087916,1.8942676686656141
sha256_seeded_baseline_r004,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,49.75004346817633,2.4203623740432434
sha256_seeded_baseline_r004,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,4.281104183896741,1.9937708905170846
sha256_seeded_baseline_r005,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,7.60139854077373,1.3844596501804538
sha256_seeded_baseline_r005,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,19.445443137639888,1.2165164362275676
sha256_seeded_baseline_r005,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,38.250029516329256,2.5966625617161303
